name,year,highest_degree_offered,offers_bachelors_degree,offers_masters_degree,offers_doctors_degree_research_scholarship,offers_doctors_degree_professional_practice,applicants_total,admissions_total,enrolled_total,estimated_enrollment_total,tuition_and_fees_2013_14,total_price_for_in_state_students_living_on_campus_2013_14,total_price_for_out_of_state_students_living_on_campus_2013_14,state_abbreviation,control_of_institution,total_enrollment,full_time_enrollment,part_time_enrollment,undergraduate_enrollment,graduate_enrollment,full_time_undergraduate_enrollment,part_time_undergraduate_enrollment,percent_of_total_enrollment_that_are_women,percent_of_undergraduate_enrollment_that_are_women,percent_of_graduate_enrollment_that_are_women,graduation_rate_bachelor_degree_within_4_years_total,graduation_rate_bachelor_degree_within_5_years_total,graduation_rate_bachelor_degree_within_6_years_total
Boston University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,44006.0,20071.0,3877.0,32411.0,44880.0,61446.0,61446.0,Massachusetts,Private not-for-profit,32411.0,25797.0,6614.0,18165.0,14246.0,16593.0,1572.0,58.0,60.0,56.0,80.0,84.0,84.0
Brandeis University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,9496.0,3517.0,833.0,5825.0,45856.0,61070.0,61070.0,Massachusetts,Private not-for-profit,5825.0,5386.0,439.0,3614.0,2211.0,3599.0,15.0,54.0,57.0,51.0,86.0,89.0,90.0
Bridgewater State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,5920.0,4653.0,1476.0,11267.0,8053.0,22753.0,28893.0,Massachusetts,Public,11267.0,8473.0,2794.0,9615.0,1652.0,8034.0,1581.0,60.0,58.0,72.0,29.0,52.0,58.0
Cambridge College,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,,,,3112.0,13392.0,,,Massachusetts,Private not-for-profit,3114.0,1198.0,1916.0,1050.0,2064.0,234.0,816.0,72.0,65.0,75.0,2.0,2.0,2.0
Clark University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,5551.0,3416.0,621.0,3551.0,39550.0,48770.0,48770.0,Massachusetts,Private not-for-profit,3551.0,3153.0,398.0,2380.0,1171.0,2270.0,110.0,58.0,58.0,56.0,76.0,80.0,81.0
Curry College,2013,Master's degree,Yes,Yes,Implied no,Implied no,6780.0,4537.0,643.0,3062.0,34715.0,50845.0,50845.0,Massachusetts,Private not-for-profit,3074.0,2106.0,968.0,2849.0,225.0,2068.0,781.0,62.0,63.0,61.0,35.0,44.0,45.0
Eastern Nazarene College,2013,Master's degree,Yes,Yes,Implied no,Implied no,941.0,525.0,165.0,1478.0,27922.0,38522.0,38522.0,Massachusetts,Private not-for-profit,1478.0,1409.0,69.0,1321.0,157.0,1302.0,19.0,74.0,73.0,80.0,41.0,54.0,58.0
Emerson College,2013,Master's degree,Yes,Yes,Implied no,Implied no,8198.0,3933.0,863.0,4556.0,35730.0,53554.0,53554.0,Massachusetts,Private not-for-profit,4561.0,4375.0,186.0,3758.0,803.0,3668.0,90.0,65.0,63.0,75.0,80.0,81.0,81.0
Emmanuel College,2013,Master's degree,Yes,Yes,Implied no,Implied no,6623.0,4006.0,515.0,2432.0,34670.0,51363.0,51363.0,Massachusetts,Private not-for-profit,2436.0,1874.0,562.0,2176.0,260.0,1857.0,319.0,74.0,73.0,81.0,51.0,57.0,58.0
Endicott College,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,3675.0,2633.0,629.0,4551.0,28926.0,45536.0,45536.0,Massachusetts,Private not-for-profit,5029.0,2819.0,2210.0,2724.0,2305.0,2430.0,294.0,68.0,60.0,77.0,65.0,69.0,70.0
Fisher College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2412.0,1513.0,239.0,1930.0,27575.0,46840.0,46840.0,Massachusetts,Private not-for-profit,1930.0,1229.0,701.0,1930.0,,1229.0,701.0,74.0,74.0,,4.0,4.0,40.0
Fitchburg State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,3528.0,2544.0,759.0,6729.0,8985.0,20690.0,26770.0,Massachusetts,Public,6680.0,3632.0,3048.0,4245.0,2435.0,3438.0,807.0,64.0,56.0,76.0,20.0,44.0,50.0
Framingham State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,5433.0,2807.0,826.0,6298.0,8080.0,22804.0,28884.0,Massachusetts,Public,6429.0,3982.0,2447.0,4584.0,1845.0,3884.0,700.0,68.0,63.0,81.0,33.0,47.0,51.0
Gordon College,2013,Master's degree,Yes,Yes,Implied no,Implied no,4009.0,1657.0,481.0,2109.0,33230.0,44860.0,44860.0,Massachusetts,Private not-for-profit,2073.0,1768.0,305.0,1710.0,363.0,1668.0,42.0,65.0,62.0,81.0,58.0,70.0,71.0
Hampshire College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2856.0,1819.0,361.0,1468.0,46625.0,60155.0,60155.0,Massachusetts,Private not-for-profit,1492.0,1492.0,,1492.0,,1492.0,,57.0,57.0,,56.0,65.0,66.0
Harvard University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,35023.0,2047.0,1659.0,28775.0,42292.0,59950.0,59950.0,Massachusetts,Private not-for-profit,28297.0,20370.0,7927.0,10534.0,17763.0,7240.0,3294.0,49.0,50.0,48.0,87.0,95.0,97.0
College of the Holy Cross,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,7115.0,2346.0,722.0,2912.0,44272.0,57832.0,57832.0,Massachusetts,Private not-for-profit,2912.0,2877.0,35.0,2912.0,,2877.0,35.0,50.0,50.0,,89.0,91.0,91.0
Lasell College,2013,Master's degree,Yes,Yes,Implied no,Implied no,3584.0,2729.0,485.0,2076.0,30000.0,46000.0,46000.0,Massachusetts,Private not-for-profit,2081.0,1767.0,314.0,1687.0,394.0,1649.0,38.0,65.0,64.0,70.0,47.0,52.0,53.0
Lesley University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,2605.0,1758.0,316.0,5018.0,32375.0,49765.0,49765.0,Massachusetts,Private not-for-profit,5195.0,2554.0,2641.0,1948.0,3247.0,1460.0,488.0,82.0,77.0,85.0,35.0,42.0,46.0
University of Massachusetts-Lowell,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,9126.0,5838.0,1648.0,16901.0,12097.0,24961.0,39010.0,Massachusetts,Public,16932.0,10322.0,6610.0,12734.0,4198.0,9034.0,3700.0,41.0,39.0,47.0,28.0,47.0,54.0
University of Massachusetts-Amherst,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,36012.0,22665.0,4672.0,28518.0,13443.0,26282.0,40998.0,Massachusetts,Public,28518.0,22808.0,5710.0,22134.0,6384.0,20505.0,1629.0,49.0,49.0,50.0,59.0,71.0,73.0
University of Massachusetts-Boston,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,8170.0,5834.0,1413.0,16177.0,11966.0,,,Massachusetts,Public,16277.0,9999.0,6278.0,12366.0,3911.0,8759.0,3607.0,59.0,56.0,69.0,15.0,35.0,44.0
Massachusetts Institute of Technology,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,18989.0,1548.0,1115.0,11301.0,43498.0,59020.0,59020.0,Massachusetts,Private not-for-profit,11301.0,11138.0,163.0,4528.0,6773.0,4499.0,29.0,37.0,45.0,31.0,84.0,91.0,93.0
Massachusetts Maritime Academy,2013,Master's degree,Yes,Yes,Implied no,Implied no,787.0,608.0,300.0,1480.0,7127.0,22073.0,36979.0,Massachusetts,Public,1476.0,1333.0,143.0,1376.0,100.0,1333.0,43.0,12.0,12.0,18.0,49.0,64.0,67.0
Merrimack College,2013,Master's degree,Yes,Yes,Implied no,Implied no,6314.0,4963.0,794.0,3032.0,35085.0,49685.0,49685.0,Massachusetts,Private not-for-profit,3067.0,2790.0,277.0,2758.0,309.0,2604.0,154.0,52.0,49.0,74.0,54.0,59.0,60.0
Mount Holyoke College,2013,Master's degree,Yes,Yes,Implied no,Implied no,3732.0,1747.0,527.0,2251.0,41456.0,55496.0,55496.0,Massachusetts,Private not-for-profit,2251.0,2188.0,63.0,2183.0,68.0,2151.0,32.0,99.0,100.0,85.0,76.0,81.0,82.0
Mount Ida College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2371.0,1438.0,307.0,1281.0,29377.0,44945.0,44945.0,Massachusetts,Private not-for-profit,1288.0,1176.0,112.0,1268.0,20.0,1167.0,101.0,66.0,66.0,70.0,29.0,37.0,39.0
Newbury College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4915.0,2926.0,270.0,962.0,28950.0,44550.0,44550.0,Massachusetts,Private not-for-profit,962.0,851.0,111.0,962.0,,851.0,111.0,56.0,56.0,,24.0,30.0,30.0
Nichols College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2499.0,2011.0,414.0,1525.0,32370.0,46690.0,46690.0,Massachusetts,Private not-for-profit,1459.0,1138.0,321.0,1281.0,178.0,1100.0,181.0,41.0,41.0,48.0,42.0,46.0,47.0
Massachusetts College of Liberal Arts,2013,Master's degree,Yes,Yes,Implied no,Implied no,1689.0,1135.0,313.0,1716.0,8525.0,21363.0,30308.0,Massachusetts,Public,1716.0,1374.0,342.0,1538.0,178.0,1353.0,185.0,60.0,60.0,60.0,38.0,54.0,57.0
Northeastern University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,47364.0,15301.0,2891.0,20915.0,41686.0,58096.0,58096.0,Massachusetts,Private not-for-profit,20053.0,17957.0,2096.0,13223.0,6830.0,13204.0,19.0,50.0,51.0,46.0,,79.0,83.0
College of Our Lady of the Elms,2013,Master's degree,Yes,Yes,Implied no,Implied no,993.0,744.0,198.0,1678.0,30132.0,44612.0,44612.0,Massachusetts,Private not-for-profit,1678.0,1021.0,657.0,1347.0,331.0,1006.0,341.0,77.0,76.0,81.0,57.0,67.0,68.0
Pine Manor College,2013,Master's degree,Yes,Yes,Implied no,Implied no,535.0,343.0,119.0,353.0,24930.0,40870.0,40870.0,Massachusetts,Private not-for-profit,346.0,338.0,8.0,313.0,33.0,305.0,8.0,84.0,85.0,76.0,28.0,32.0,32.0
Salem State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,4855.0,3364.0,1095.0,9299.0,8130.0,22084.0,28224.0,Massachusetts,Public,9301.0,6194.0,3107.0,7664.0,1637.0,5834.0,1830.0,63.0,61.0,74.0,22.0,39.0,46.0
Simmons College,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,4239.0,2076.0,339.0,4629.0,35380.0,52610.0,52610.0,Massachusetts,Private not-for-profit,4655.0,2335.0,2320.0,1732.0,2923.0,1577.0,155.0,92.0,100.0,87.0,66.0,70.0,71.0
Bard College at Simon's Rock,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,218.0,201.0,145.0,349.0,46713.0,61403.0,61403.0,Massachusetts,Private not-for-profit,350.0,341.0,9.0,350.0,,341.0,9.0,58.0,58.0,,,,
Smith College,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4403.0,1897.0,643.0,3033.0,43114.0,60167.0,60167.0,Massachusetts,Private not-for-profit,3033.0,2937.0,96.0,2606.0,427.0,2585.0,21.0,98.0,100.0,85.0,82.0,85.0,86.0
Springfield College,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,2231.0,1560.0,513.0,3286.0,32560.0,46480.0,46480.0,Massachusetts,Private not-for-profit,3255.0,3004.0,251.0,2182.0,1073.0,2128.0,54.0,57.0,48.0,74.0,58.0,67.0,69.0
University of Massachusetts-Dartmouth,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,8063.0,5816.0,1443.0,9053.0,11681.0,25355.0,37830.0,Massachusetts,Public,9053.0,7060.0,1993.0,7437.0,1616.0,6373.0,1064.0,49.0,48.0,53.0,30.0,45.0,49.0
Stonehill College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,6548.0,4643.0,610.0,2481.0,36160.0,52370.0,52370.0,Massachusetts,Private not-for-profit,2481.0,2458.0,23.0,2481.0,,2458.0,23.0,62.0,62.0,,82.0,84.0,85.0
Suffolk University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,9275.0,7652.0,1188.0,8796.0,31716.0,49979.0,49979.0,Massachusetts,Private not-for-profit,8675.0,6815.0,1860.0,5658.0,3017.0,5236.0,422.0,56.0,55.0,57.0,41.0,52.0,55.0
Tufts University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,18419.0,3471.0,1314.0,10864.0,46598.0,61000.0,61000.0,Massachusetts,Private not-for-profit,10872.0,10051.0,821.0,5180.0,5692.0,5138.0,42.0,55.0,51.0,58.0,87.0,91.0,92.0
Wellesley College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4765.0,1387.0,595.0,2345.0,43554.0,59092.0,59092.0,Massachusetts,Private not-for-profit,2474.0,2344.0,130.0,2474.0,,2344.0,130.0,98.0,98.0,,84.0,89.0,91.0
Wentworth Institute of Technology,2013,Master's degree,Yes,Yes,Implied no,Implied no,6146.0,3541.0,900.0,4179.0,29200.0,46750.0,46750.0,Massachusetts,Private not-for-profit,4179.0,3724.0,455.0,4012.0,167.0,3634.0,378.0,19.0,18.0,31.0,50.0,60.0,61.0
Western New England University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,5988.0,4881.0,697.0,3724.0,33020.0,48890.0,48890.0,Massachusetts,Private not-for-profit,3800.0,2955.0,845.0,2667.0,1133.0,2498.0,169.0,44.0,40.0,56.0,52.0,58.0,60.0
Westfield State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,5137.0,3846.0,1288.0,6395.0,8694.0,21296.0,27376.0,Massachusetts,Public,6371.0,5220.0,1151.0,5692.0,679.0,4999.0,693.0,53.0,52.0,68.0,44.0,57.0,59.0
Wheaton College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,3944.0,2657.0,466.0,1640.0,45074.0,58574.0,58574.0,Massachusetts,Private not-for-profit,1654.0,1645.0,9.0,1654.0,,1645.0,9.0,65.0,65.0,,71.0,75.0,76.0
Wheelock College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1570.0,1149.0,217.0,1348.0,31880.0,47870.0,47870.0,Massachusetts,Private not-for-profit,1378.0,1065.0,313.0,880.0,498.0,809.0,71.0,89.0,88.0,90.0,46.0,50.0,54.0
Williams College,2013,Master's degree,Yes,Yes,Implied no,Implied no,7069.0,1203.0,547.0,2151.0,46600.0,61850.0,61850.0,Massachusetts,Private not-for-profit,2150.0,2118.0,32.0,2096.0,54.0,2064.0,32.0,52.0,52.0,48.0,90.0,94.0,95.0
Worcester Polytechnic Institute,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,8578.0,4425.0,1103.0,6296.0,42778.0,58060.0,58060.0,Massachusetts,Private not-for-profit,6296.0,4719.0,1577.0,4134.0,2162.0,3959.0,175.0,31.0,33.0,27.0,70.0,80.0,81.0
Worcester State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,4149.0,2515.0,780.0,6447.0,8157.0,22718.0,28798.0,Massachusetts,Public,6447.0,4268.0,2179.0,5556.0,891.0,4115.0,1441.0,62.0,60.0,76.0,34.0,45.0,49.0
Adrian College,2013,Master's degree,Yes,Yes,Implied no,Implied no,4675.0,2631.0,496.0,1650.0,30758.0,42740.0,42740.0,Michigan,Private not-for-profit,1658.0,1591.0,67.0,1649.0,9.0,1582.0,67.0,49.0,49.0,33.0,39.0,53.0,54.0
Albion College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4430.0,2498.0,346.0,1307.0,36051.0,48195.0,48195.0,Michigan,Private not-for-profit,1307.0,1272.0,35.0,1307.0,,1272.0,35.0,49.0,49.0,,64.0,73.0,74.0
Alma College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2699.0,1833.0,376.0,1419.0,32660.0,44287.0,44287.0,Michigan,Private not-for-profit,1419.0,1378.0,41.0,1419.0,,1378.0,41.0,55.0,55.0,,43.0,61.0,61.0
Andrews University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,2551.0,957.0,388.0,3516.0,25470.0,35538.0,35538.0,Michigan,Private not-for-profit,3516.0,2324.0,1192.0,1905.0,1611.0,1618.0,287.0,47.0,56.0,37.0,29.0,52.0,60.0
Aquinas College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2789.0,1990.0,391.0,2001.0,26460.0,38012.0,38012.0,Michigan,Private not-for-profit,2001.0,1649.0,352.0,1863.0,138.0,1634.0,229.0,62.0,62.0,72.0,30.0,53.0,59.0
Baker College of Owosso,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,2763.0,8100.0,20100.0,20100.0,Michigan,Private not-for-profit,2828.0,1713.0,1115.0,2815.0,13.0,1711.0,1104.0,58.0,58.0,69.0,2.0,9.0,9.0
Baker College of Flint,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,4973.0,8100.0,20100.0,20100.0,Michigan,Private not-for-profit,4977.0,2746.0,2231.0,4948.0,29.0,2739.0,2209.0,65.0,65.0,38.0,,4.0,9.0
Calvin College,2013,Master's degree,Yes,Yes,Implied no,Implied no,4003.0,2792.0,1006.0,4034.0,28250.0,41195.0,41195.0,Michigan,Private not-for-profit,4034.0,3849.0,185.0,3959.0,75.0,3814.0,145.0,55.0,55.0,71.0,57.0,71.0,73.0
Central Michigan University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,19262.0,12143.0,2963.0,26841.0,11220.0,22004.0,34454.0,Michigan,Public,26841.0,19653.0,7188.0,20534.0,6307.0,17880.0,2654.0,57.0,56.0,60.0,21.0,51.0,59.0
Concordia University-Ann Arbor,2013,Master's degree,Yes,Yes,Implied no,Implied no,1150.0,618.0,188.0,739.0,23563.0,35693.0,35693.0,Michigan,Private not-for-profit,740.0,532.0,208.0,584.0,156.0,506.0,78.0,51.0,46.0,69.0,14.0,31.0,37.0
Davenport University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1385.0,1270.0,581.0,9591.0,14096.0,26872.0,26872.0,Michigan,Private not-for-profit,9591.0,2676.0,6915.0,7356.0,2235.0,2580.0,4776.0,61.0,62.0,58.0,8.0,35.0,42.0
University of Detroit Mercy,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,3670.0,2256.0,481.0,5000.0,35920.0,52400.0,52400.0,Michigan,Private not-for-profit,5112.0,3716.0,1396.0,2888.0,2224.0,2196.0,692.0,59.0,65.0,52.0,35.0,52.0,57.0
Eastern Michigan University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,11929.0,7632.0,2636.0,23317.0,9364.0,20756.0,36301.0,Michigan,Public,23447.0,14493.0,8954.0,19189.0,4258.0,13542.0,5647.0,59.0,58.0,65.0,12.0,30.0,38.0
Ferris State University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,10718.0,8135.0,2006.0,14707.0,10466.0,21878.0,28134.0,Michigan,Public,14707.0,10066.0,4641.0,13477.0,1230.0,9255.0,4222.0,52.0,52.0,57.0,23.0,42.0,49.0
Kettering University,2013,Master's degree,Yes,Yes,Implied no,Implied no,2140.0,1318.0,372.0,1991.0,35600.0,51277.0,51277.0,Michigan,Private not-for-profit,1985.0,1612.0,373.0,1684.0,301.0,1590.0,94.0,19.0,18.0,25.0,11.0,52.0,61.0
Grace Bible College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,346.0,259.0,136.0,506.0,12235.0,21949.0,21949.0,Michigan,Private not-for-profit,579.0,438.0,141.0,579.0,,438.0,141.0,53.0,53.0,,17.0,37.0,41.0
Cornerstone University,2013,Master's degree,Yes,Yes,Implied no,Implied no,2349.0,1599.0,362.0,2809.0,24168.0,35922.0,35922.0,Michigan,Private not-for-profit,2809.0,1909.0,900.0,2200.0,609.0,1610.0,590.0,57.0,59.0,52.0,30.0,43.0,48.0
Grand Valley State University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,18122.0,14969.0,4078.0,24477.0,10716.0,22432.0,27104.0,Michigan,Public,24477.0,19853.0,4624.0,21235.0,3242.0,18686.0,2549.0,59.0,58.0,68.0,33.0,63.0,70.0
Hope College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4161.0,3018.0,822.0,3388.0,28720.0,40050.0,40050.0,Michigan,Private not-for-profit,3388.0,3235.0,153.0,3388.0,,3235.0,153.0,60.0,60.0,,68.0,76.0,78.0
Kalamazoo College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2528.0,1691.0,454.0,1456.0,39450.0,50800.0,50800.0,Michigan,Private not-for-profit,1458.0,1446.0,12.0,1458.0,,1446.0,12.0,56.0,56.0,,72.0,77.0,77.0
Lake Superior State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1481.0,1360.0,418.0,2370.0,9960.0,21788.0,26708.0,Michigan,Public,2435.0,1967.0,468.0,2429.0,6.0,1967.0,462.0,50.0,50.0,83.0,17.0,36.0,42.0
Lawrence Technological University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,1819.0,794.0,341.0,4023.0,28948.0,43061.0,43061.0,Michigan,Private not-for-profit,4002.0,1571.0,2431.0,3033.0,969.0,1536.0,1497.0,26.0,24.0,32.0,16.0,39.0,49.0
Madonna University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,1089.0,667.0,191.0,4430.0,16340.0,27944.0,27944.0,Michigan,Private not-for-profit,4399.0,1774.0,2625.0,3352.0,1047.0,1678.0,1674.0,70.0,67.0,78.0,31.0,36.0,40.0
Marygrove College,2013,Master's degree,Yes,Yes,Implied no,Implied no,916.0,859.0,182.0,1960.0,19850.0,30730.0,30730.0,Michigan,Private not-for-profit,1960.0,816.0,1144.0,1041.0,919.0,801.0,240.0,76.0,75.0,77.0,8.0,23.0,29.0
Rochester College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1171.0,769.0,149.0,1129.0,19920.0,28890.0,28890.0,Michigan,Private not-for-profit,1129.0,723.0,406.0,1117.0,12.0,712.0,405.0,60.0,60.0,25.0,19.0,38.0,44.0
University of Michigan-Ann Arbor,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,46813.0,15570.0,6200.0,43710.0,13142.0,26240.0,53490.0,Michigan,Public,43710.0,41152.0,2558.0,28283.0,15427.0,27316.0,967.0,48.0,49.0,45.0,76.0,88.0,90.0
Michigan State University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,31479.0,21610.0,8061.0,49343.0,12862.0,24648.0,45536.0,Michigan,Public,49317.0,43276.0,6041.0,37985.0,11332.0,34838.0,3147.0,52.0,50.0,56.0,50.0,74.0,78.0
Michigan Technological University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4520.0,3462.0,1153.0,6972.0,13728.0,26375.0,41255.0,Michigan,Public,6975.0,6158.0,817.0,5617.0,1358.0,5198.0,419.0,26.0,25.0,29.0,24.0,58.0,66.0
University of Michigan-Dearborn,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4908.0,3084.0,954.0,8421.0,10614.0,,,Michigan,Public,8748.0,5225.0,3523.0,7144.0,1604.0,4814.0,2330.0,48.0,50.0,40.0,15.0,43.0,52.0
University of Michigan-Flint,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,3003.0,2345.0,724.0,8555.0,9356.0,23026.0,31908.0,Michigan,Public,8555.0,4943.0,3612.0,7143.0,1412.0,4490.0,2653.0,60.0,60.0,61.0,9.0,29.0,38.0
Baker College of Muskegon,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,4021.0,8100.0,20100.0,20100.0,Michigan,Private not-for-profit,4021.0,2592.0,1429.0,4005.0,16.0,2585.0,1420.0,70.0,70.0,69.0,,3.0,17.0
Northern Michigan University,2013,Master's degree,Yes,Yes,Implied no,Implied no,6743.0,4931.0,1680.0,8879.0,9037.0,20273.0,25349.0,Michigan,Public,8918.0,7537.0,1381.0,8221.0,697.0,7347.0,874.0,55.0,54.0,63.0,21.0,41.0,48.0
Oakland University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,12019.0,7933.0,2569.0,20169.0,10613.0,21751.0,35011.0,Michigan,Public,20169.0,13863.0,6306.0,16594.0,3575.0,12252.0,4342.0,59.0,59.0,61.0,15.0,34.0,43.0
Olivet College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1995.0,1027.0,301.0,1116.0,23021.0,34181.0,34181.0,Michigan,Private not-for-profit,1133.0,982.0,151.0,1119.0,14.0,982.0,137.0,43.0,43.0,43.0,26.0,41.0,43.0
Kuyper College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,152.0,104.0,37.0,289.0,18454.0,27970.0,27970.0,Michigan,Private not-for-profit,291.0,248.0,43.0,288.0,3.0,247.0,41.0,52.0,52.0,67.0,37.0,37.0,38.0
Saginaw Valley State University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,6057.0,4764.0,1593.0,10245.0,8423.0,19181.0,30534.0,Michigan,Public,10240.0,7899.0,2341.0,9163.0,1077.0,7628.0,1535.0,59.0,57.0,71.0,10.0,31.0,39.0
Siena Heights University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1422.0,962.0,300.0,2684.0,21890.0,34014.0,34014.0,Michigan,Private not-for-profit,2684.0,1246.0,1438.0,2424.0,260.0,1237.0,1187.0,58.0,57.0,72.0,21.0,41.0,43.0
Spring Arbor University,2013,Master's degree,Yes,Yes,Implied no,Implied no,2698.0,1755.0,368.0,3962.0,23400.0,34046.0,34046.0,Michigan,Private not-for-profit,3962.0,2498.0,1464.0,2968.0,994.0,2006.0,962.0,71.0,69.0,77.0,30.0,54.0,57.0
Finlandia University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,872.0,513.0,109.0,525.0,20480.0,32220.0,32220.0,Michigan,Private not-for-profit,525.0,464.0,61.0,525.0,,464.0,61.0,57.0,57.0,,31.0,35.0,38.0
Wayne State University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,11524.0,8786.0,2167.0,27897.0,11094.0,23586.0,36206.0,Michigan,Public,27897.0,18096.0,9801.0,18602.0,9295.0,12221.0,6381.0,57.0,56.0,58.0,11.0,24.0,32.0
